Gene A	Gene B	Interaction Methods
STXBP1	TUBA4A	affinity chromatography technology
STXBP1	TUBB2A	affinity chromatography technology
STXBP1	UBC	affinity chromatography technology
STXBP1	USO1	in vivo
STXBP2	STXBP3	in vitro
STXBP2	UBC	affinity chromatography technology
STXBP2	VAMP2	in vitro
STXBP3	UBC	affinity chromatography technology
STXBP3	VAMP2	pull down
STXBP4	UBC	affinity chromatography technology
STXBP6	UBC	affinity chromatography technology
STYK1	UBC	affinity chromatography technology
STYXL1	TGFBR1	in vivo
STYXL1	Tcr-alpha	anti bait coimmunoprecipitation
STYXL1	UBC	affinity chromatography technology
SUB1	SUMO2	affinity chromatography technology
SUB1	TAF1	in vitro
SUB1	TBP	in vitro
SUB1	UBC	affinity chromatography technology
SUB1	YWHAZ	affinity chromatography technology
SUCLA2	UBC	affinity chromatography technology
SUCLG1	SUCLG1	x-ray crystallography
SUCLG1	SUCLG2	in vitro
SUCLG1	UBC	affinity chromatography technology
SUCLG2	UBC	affinity chromatography technology
SUCLG2	USP19	anti tag coimmunoprecipitation
SUCO	UBC	affinity chromatography technology
SUDS3	SUMO2	affinity chromatography technology
SUDS3	USP17L30	affinity chromatography technology
SUFU	UBC	affinity chromatography technology
SUFU	ZNF219	two hybrid
SUFU	ZNF263	two hybrid
SUFU	ZNF446	two hybrid pooling approach|two hybrid
SUFU	ZNF747	two hybrid
SUFU	ZNF764	two hybrid pooling approach
SUGP1	TAF9	display technology
SUGP1	U2AF2	two hybrid
SUGP1	UBC	affinity chromatography technology
SUGT1	SUMO2	affinity chromatography technology
SUGT1	TONSL	affinity chromatography technology
SUGT1	UBC	affinity chromatography technology
SULF2	UBC	affinity chromatography technology
SULT1A1	UBC	affinity chromatography technology
SULT1A4	TK1	two hybrid
SULT1A4	UBC	affinity chromatography technology
SULT1C2	SULT1C2	in vitro
SULT1C2	TINF2	two hybrid
SULT1C2	UBC	affinity chromatography technology
SULT1E1	SULT2B1	two hybrid pooling approach
SULT1E1	UNC119	two hybrid
SULT2A1	SULT2A1	in vitro
SULT2A1	TMX1	two hybrid
SUMF2	UBC	affinity chromatography technology
SUMF2	ZFYVE9	two hybrid
SUMO1	SUMO2	affinity chromatography technology
SUMO1	SUMO3	affinity chromatography technology
SUMO1	SUMO4	affinity chromatography technology
SUMO1	SUPT7L	enzymatic study
SUMO1	SYDE2	affinity chromatography technology
SUMO1	SYMPK	enzymatic study
SUMO1	SYT7	affinity chromatography technology
SUMO1	TCERG1	enzymatic study
SUMO1	TCF4	two hybrid
SUMO1	TCOF1	affinity chromatography technology
SUMO1	TDG	x-ray crystallography
SUMO1	TDP2	two hybrid
SUMO1	TFAP2A	affinity chromatography technology
SUMO1	TFAP2B	affinity chromatography technology
SUMO1	TFAP2C	two hybrid
SUMO1	TGM2	affinity chromatography technology
SUMO1	THOC2	affinity chromatography technology
SUMO1	THRA	affinity chromatography technology
SUMO1	THRAP3	affinity chromatography technology
SUMO1	THRB	affinity chromatography technology
SUMO1	TIE1	affinity chromatography technology
SUMO1	TMEM25	affinity chromatography technology
SUMO1	TNFRSF1A	two hybrid
SUMO1	TOE1	two hybrid pooling approach
SUMO1	TOP1	in vivo
SUMO1	TOP2A	two hybrid
SUMO1	TOP2B	two hybrid
SUMO1	TOPORS	two hybrid
SUMO1	TP53	affinity chromatography technology
SUMO1	TP63	two hybrid
SUMO1	TP73	two hybrid
SUMO1	TPR	affinity chromatography technology
SUMO1	TRA2A	affinity chromatography technology
SUMO1	TRAF6	affinity chromatography technology
SUMO1	TRIM24	in vivo
SUMO1	TRIM28	affinity chromatography technology
SUMO1	TRIM4	affinity chromatography technology
SUMO1	TRIM5	pull down
SUMO1	TRIP12	affinity chromatography technology
SUMO1	TRPS1	affinity chromatography technology
SUMO1	TSHZ2	enzymatic study
SUMO1	TSNAX	enzymatic study
SUMO1	TUBA1A	affinity chromatography technology
SUMO1	TUBA1B	affinity chromatography technology
SUMO1	TUBA1C	affinity chromatography technology
SUMO1	TUBA3E	affinity chromatography technology
SUMO1	TUBA4B	affinity chromatography technology
SUMO1	TUBB	affinity chromatography technology
SUMO1	TUBB1	affinity chromatography technology
SUMO1	TUBB2B	affinity chromatography technology
SUMO1	TUBB3	affinity chromatography technology
SUMO1	TUBB4A	affinity chromatography technology
SUMO1	TUBB4B	affinity chromatography technology
SUMO1	TUBB6	affinity chromatography technology
SUMO1	TUBB8	affinity chromatography technology
SUMO1	TUFM	affinity chromatography technology
SUMO1	UBA2	pull down
SUMO1	UBB	affinity chromatography technology
SUMO1	UBC	affinity chromatography technology
SUMO1	UBE2I	in vitro
SUMO1	UBE2K	affinity chromatography technology
SUMO1	UBR4	affinity chromatography technology
SUMO1	UBTF	affinity chromatography technology
SUMO1	UROC1	affinity chromatography technology
SUMO1	USP25	pull down
SUMO1	USP7	two hybrid
SUMO1	USPL1	pull down
SUMO1	UTP20	affinity chromatography technology
SUMO1	VCP	affinity chromatography technology
SUMO1	VHL	affinity chromatography technology
SUMO1	VIM	affinity chromatography technology
SUMO1	WDR33	in vivo
SUMO1	WIZ	affinity chromatography technology
SUMO1	WNK1	enzymatic study
SUMO1	WRN	pull down
SUMO1	XPC	affinity chromatography technology
SUMO1	XRCC1	enzymatic study
SUMO1	XRCC5	enzymatic study
SUMO1	YAP1	affinity chromatography technology
SUMO1	ZBTB16	affinity chromatography technology
SUMO1	ZBTB46	affinity chromatography technology
SUMO1	ZBTB7A	affinity chromatography technology
SUMO1	ZC3H11A	affinity chromatography technology
SUMO1	ZC3H13	affinity chromatography technology
SUMO1	ZC3H18	affinity chromatography technology
SUMO1	ZC3H4	affinity chromatography technology
SUMO1	ZC3HAV1	affinity chromatography technology
SUMO1	ZCCHC12	affinity chromatography technology
SUMO1	ZEB2	affinity chromatography technology
SUMO1	ZFC3H1	affinity chromatography technology
SUMO1	ZMYM2	affinity chromatography technology
SUMO1	ZNF131	affinity chromatography technology
SUMO1	ZNF24	enzymatic study
SUMO1	ZNF410	affinity chromatography technology
SUMO1	ZNF451	affinity chromatography technology
SUMO1	ZNF638	affinity chromatography technology
SUMO2	SUMO3	in vitro
SUMO2	SUMO4	affinity chromatography technology
SUMO2	SUPT16H	affinity chromatography technology
SUMO2	SUPT3H	affinity chromatography technology
SUMO2	SUPT6H	affinity chromatography technology
SUMO2	SUPT7L	affinity chromatography technology
SUMO2	SUZ12	affinity chromatography technology
SUMO2	SYMPK	affinity chromatography technology
SUMO2	SYNCRIP	affinity chromatography technology
SUMO2	T	affinity chromatography technology
SUMO2	TADA3	affinity chromatography technology
SUMO2	TAF9	affinity chromatography technology
SUMO2	TAGLN2	affinity chromatography technology
SUMO2	TALDO1	affinity chromatography technology
SUMO2	TARDBP	affinity chromatography technology
SUMO2	TARS	affinity chromatography technology
SUMO2	TBL3	affinity chromatography technology
SUMO2	TCERG1	affinity chromatography technology
SUMO2	TCF20	affinity chromatography technology
SUMO2	TCF4	affinity chromatography technology
SUMO2	TCF7L2	affinity chromatography technology
SUMO2	TCOF1	affinity chromatography technology
SUMO2	TDG	in vitro
SUMO2	TDP1	affinity chromatography technology
SUMO2	TDP2	affinity chromatography technology
SUMO2	TEAD3	two hybrid
SUMO2	TEAD4	affinity chromatography technology
SUMO2	TERF2	affinity chromatography technology
SUMO2	TERF2IP	affinity chromatography technology
SUMO2	TEX10	affinity chromatography technology
SUMO2	TFAP2A	affinity chromatography technology
SUMO2	TFAP2C	affinity chromatography technology
SUMO2	TFAP4	affinity chromatography technology
SUMO2	TFCP2	affinity chromatography technology
SUMO2	TFE3	affinity chromatography technology
SUMO2	TFIP11	affinity chromatography technology
SUMO2	TFPT	affinity chromatography technology
SUMO2	TFRC	affinity chromatography technology
SUMO2	TGM2	affinity chromatography technology
SUMO2	THOC1	affinity chromatography technology
SUMO2	THOC2	affinity chromatography technology
SUMO2	THRAP3	affinity chromatography technology
SUMO2	THRB	affinity chromatography technology
SUMO2	TIMELESS	affinity chromatography technology
SUMO2	TIMM13	affinity chromatography technology
SUMO2	TIMM23	affinity chromatography technology
SUMO2	TIMP1	two hybrid pooling approach
SUMO2	TLN1	affinity chromatography technology
SUMO2	TMOD3	affinity chromatography technology
SUMO2	TMPO	affinity chromatography technology
SUMO2	TNIP1	two hybrid
SUMO2	TNRC18	affinity chromatography technology
SUMO2	TOP1	affinity chromatography technology
SUMO2	TOP2A	affinity chromatography technology
SUMO2	TOP2B	affinity chromatography technology
SUMO2	TOPBP1	affinity chromatography technology
SUMO2	TOPORS	affinity chromatography technology
SUMO2	TP53	affinity chromatography technology
SUMO2	TP53BP1	affinity chromatography technology
SUMO2	TP53BP2	affinity chromatography technology
SUMO2	TPR	affinity chromatography technology
SUMO2	TPT1	affinity chromatography technology
SUMO2	TPX2	affinity chromatography technology
SUMO2	TRA2A	affinity chromatography technology
SUMO2	TRA2B	affinity chromatography technology
SUMO2	TRAF1	affinity chromatography technology
SUMO2	TRAP1	affinity chromatography technology
SUMO2	TRIM24	affinity chromatography technology
SUMO2	TRIM28	affinity chromatography technology
SUMO2	TRIM33	affinity chromatography technology
SUMO2	TRIM63	two hybrid
SUMO2	TRIML2	affinity chromatography technology
SUMO2	TRMT1L	affinity chromatography technology
SUMO2	TRMT2A	affinity chromatography technology
SUMO2	TRRAP	affinity chromatography technology
SUMO2	TRUB1	affinity chromatography technology
SUMO2	TSNAX	affinity chromatography technology
SUMO2	TSR1	in vivo
SUMO2	TSR2	affinity chromatography technology
SUMO2	TTLL12	affinity chromatography technology
SUMO2	TUBA1B	affinity chromatography technology
SUMO2	TUBA1C	affinity chromatography technology
SUMO2	TUBB	affinity chromatography technology
SUMO2	TUBB4B	affinity chromatography technology
SUMO2	TUBB6	affinity chromatography technology
SUMO2	TXN	affinity chromatography technology
SUMO2	TXNRD1	affinity chromatography technology
SUMO2	TYMS	affinity chromatography technology
SUMO2	U2AF2	affinity chromatography technology
SUMO2	U2SURP	affinity chromatography technology
SUMO2	UBA1	affinity chromatography technology
SUMO2	UBA2	affinity chromatography technology
SUMO2	UBA5	affinity chromatography technology
SUMO2	UBC	affinity chromatography technology
SUMO2	UBE2I	affinity chromatography technology
SUMO2	UBE2K	affinity chromatography technology
SUMO2	UBE2T	affinity chromatography technology
SUMO2	UBN2	affinity chromatography technology
SUMO2	UBP1	affinity chromatography technology
SUMO2	UBR5	affinity chromatography technology
SUMO2	UBTF	affinity chromatography technology
SUMO2	UBXN7	affinity chromatography technology
SUMO2	UCHL5	affinity chromatography technology
SUMO2	UHRF1	affinity chromatography technology
SUMO2	UHRF2	affinity chromatography technology
SUMO2	UIMC1	affinity chromatography technology
SUMO2	USF1	affinity chromatography technology
SUMO2	USP1	affinity chromatography technology
SUMO2	USP11	affinity chromatography technology
SUMO2	USP14	affinity chromatography technology
SUMO2	USP25	pull down
SUMO2	USP28	anti tag coimmunoprecipitation
SUMO2	USP39	affinity chromatography technology
SUMO2	USP7	affinity chromatography technology
SUMO2	USPL1	two hybrid
SUMO2	UTP11L	affinity chromatography technology
SUMO2	UTP14A	affinity chromatography technology
SUMO2	UTP18	affinity chromatography technology
SUMO2	UTP20	affinity chromatography technology
SUMO2	VCP	affinity chromatography technology
SUMO2	VIM	two hybrid
SUMO2	VPS72	affinity chromatography technology
SUMO2	WAPAL	affinity chromatography technology
SUMO2	WBSCR22	affinity chromatography technology
SUMO2	WDHD1	affinity chromatography technology
SUMO2	WDR12	affinity chromatography technology
SUMO2	WDR3	affinity chromatography technology
SUMO2	WDR36	affinity chromatography technology
SUMO2	WDR43	affinity chromatography technology
SUMO2	WDR5	affinity chromatography technology
SUMO2	WHSC1L1	affinity chromatography technology
SUMO2	WIZ	affinity chromatography technology
SUMO2	WRN	affinity chromatography technology
SUMO2	WRNIP1	affinity chromatography technology
SUMO2	XAB2	affinity chromatography technology
SUMO2	XBP1	affinity chromatography technology
SUMO2	XPC	affinity chromatography technology
SUMO2	XPO1	affinity chromatography technology
SUMO2	XRCC1	affinity chromatography technology
SUMO2	XRCC4	affinity chromatography technology
SUMO2	XRCC5	affinity chromatography technology
SUMO2	XRCC6	affinity chromatography technology
SUMO2	XRN2	affinity chromatography technology
SUMO2	YEATS2	affinity chromatography technology
SUMO2	YWHAB	affinity chromatography technology
SUMO2	YWHAE	affinity chromatography technology
SUMO2	YWHAQ	affinity chromatography technology
SUMO2	YWHAZ	affinity chromatography technology
SUMO2	YY1	affinity chromatography technology
SUMO2	YY1AP1	affinity chromatography technology
SUMO2	YY2	affinity chromatography technology
SUMO2	ZBED1	affinity chromatography technology
SUMO2	ZBTB1	affinity chromatography technology
SUMO2	ZBTB10	affinity chromatography technology
SUMO2	ZBTB2	affinity chromatography technology
SUMO2	ZBTB21	affinity chromatography technology
SUMO2	ZBTB25	affinity chromatography technology
SUMO2	ZBTB33	affinity chromatography technology
SUMO2	ZBTB4	affinity chromatography technology
SUMO2	ZBTB40	affinity chromatography technology
SUMO2	ZBTB5	affinity chromatography technology
SUMO2	ZBTB7A	affinity chromatography technology
SUMO2	ZBTB9	affinity chromatography technology
SUMO2	ZC3H11A	affinity chromatography technology
SUMO2	ZC3H14	affinity chromatography technology
SUMO2	ZCCHC17	affinity chromatography technology
SUMO2	ZEB1	affinity chromatography technology
SUMO2	ZFHX3	affinity chromatography technology
SUMO2	ZFP91	affinity chromatography technology
SUMO2	ZHX1	affinity chromatography technology
SUMO2	ZKSCAN1	affinity chromatography technology
SUMO2	ZMAT3	affinity chromatography technology
SUMO2	ZMIZ2	affinity chromatography technology
SUMO2	ZMYM1	affinity chromatography technology
SUMO2	ZMYM2	affinity chromatography technology
SUMO2	ZMYM3	affinity chromatography technology
SUMO2	ZMYM4	affinity chromatography technology
SUMO2	ZMYM6	affinity chromatography technology
SUMO2	ZMYND8	affinity chromatography technology
SUMO2	ZNF106	in vivo
SUMO2	ZNF131	affinity chromatography technology
SUMO2	ZNF148	affinity chromatography technology
SUMO2	ZNF24	affinity chromatography technology
SUMO2	ZNF280C	affinity chromatography technology
SUMO2	ZNF281	affinity chromatography technology
SUMO2	ZNF282	affinity chromatography technology
SUMO2	ZNF318	affinity chromatography technology
SUMO2	ZNF326	affinity chromatography technology
SUMO2	ZNF451	affinity chromatography technology
SUMO2	ZNF496	affinity chromatography technology
SUMO2	ZNF644	affinity chromatography technology
SUMO2	ZNF687	affinity chromatography technology
SUMO2	ZNF746	affinity chromatography technology
SUMO2	ZNHIT6	affinity chromatography technology
SUMO2	ZZZ3	affinity chromatography technology
SUMO3	TCF4	affinity chromatography technology
SUMO3	TDG	in vitro
SUMO3	THRA	affinity chromatography technology
SUMO3	TK1	two hybrid
SUMO3	TP53	affinity chromatography technology
SUMO3	TP53BP2	in vivo
SUMO3	TRIM28	affinity chromatography technology
SUMO3	TTR	two hybrid
SUMO3	UBA2	affinity chromatography technology
SUMO3	UBC	affinity chromatography technology
SUMO3	UBE2I	affinity chromatography technology
SUMO3	UBE3A	two hybrid
SUMO3	USP25	pull down
SUMO3	USPL1	pull down
SUMO3	VIM	two hybrid pooling approach
SUMO3	ZNF131	affinity chromatography technology
SUMO4	TFAP2A	affinity chromatography technology
SUMO4	TOP2A	in vivo
SUMO4	TPM3	affinity chromatography technology
SUMO4	TUBA1C	in vivo
SUMO4	TUFM	affinity chromatography technology
SUMO4	TXNL1	in vivo
SUMO4	UBC	affinity chromatography technology
SUMO4	UBE2V1	in vivo
SUMO4	VCP	in vivo
SUMO4	VDAC1	in vivo
SUMO4	VIM	affinity chromatography technology
SUMO4	WDR5	affinity chromatography technology
SUMO4	ZNF259	affinity chromatography technology
SUN1	SYNE1	cosedimentation in solution
SUN1	SYNE2	cosedimentation in solution
SUN1	TSNAX	in vivo
SUN1	UBC	affinity chromatography technology
SUN2	SYNE1	cosedimentation in solution
SUN2	SYNE2	affinity chromatography technology
SUN2	TMBIM4	anti bait coimmunoprecipitation
SUN2	UBC	affinity chromatography technology
SUN2	USP20	anti tag coimmunoprecipitation
SUOX	UBC	affinity chromatography technology
SUOX	ZNF576	two hybrid
SUPT16H	TAL1	chromatin immunoprecipitation array
SUPT16H	TONSL	affinity chromatography technology
SUPT16H	TRIM33	chromatin immunoprecipitation array
SUPT16H	UBC	affinity chromatography technology
SUPT16H	VHL	anti bait coimmunoprecipitation
SUPT16H	XRCC5	tandem affinity purification
SUPT16H	YWHAZ	affinity chromatography technology
SUPT20H	TAF10	enzymatic study
SUPT20H	UBQLN4	two hybrid array
SUPT20H	USP22	anti tag coimmunoprecipitation
SUPT20HL2	UBC	affinity chromatography technology
SUPT3H	SUPT7L	in vitro
SUPT3H	TADA1	affinity chromatography technology
SUPT3H	TADA3	affinity chromatography technology
SUPT3H	TAF10	affinity chromatography technology
SUPT3H	TAF12	affinity chromatography technology
SUPT3H	TAF4	affinity chromatography technology
SUPT3H	TAF5	affinity chromatography technology
SUPT3H	TAF5L	affinity chromatography technology
SUPT3H	TAF6L	in vivo
SUPT3H	TAF9	in vivo
SUPT3H	TP53	affinity chromatography technology
SUPT3H	TRRAP	affinity chromatography technology
SUPT3H	USP22	anti tag coimmunoprecipitation
SUPT4H1	SUPT5H	in vivo
SUPT4H1	UBC	affinity chromatography technology
SUPT4H1	XRCC5	in vivo
SUPT5H	XRCC5	in vivo
SUPT5H	ZFYVE9	two hybrid
SUPT5H	ZNF512B	two hybrid
SUPT6H	TCEA1	anti tag coimmunoprecipitation
SUPT6H	UBC	affinity chromatography technology
SUPT6H	WDR48	anti tag coimmunoprecipitation
SUPT6H	YWHAZ	pull down
SUPT7L	TAF10	biochemical
SUPT7L	TAF8	biochemical
SUPT7L	TAF9	affinity chromatography technology
SUPT7L	TP53	affinity chromatography technology
SUPT7L	USP22	affinity chromatography technology
SUPV3L1	UBC	affinity chromatography technology
SURF2	WDR20	anti tag coimmunoprecipitation
SURF2	ZNF331	two hybrid
SURF4	TMBIM4	anti bait coimmunoprecipitation
SURF4	TMEM173	anti tag coimmunoprecipitation
SURF4	UBC	enzymatic study
SURF4	UNC93B1	affinity chromatography technology
SURF6	UBC	affinity chromatography technology
SUSD1	UBC	affinity chromatography technology
SUSD2	UGGT1	affinity chromatography technology
SUV39H1	SUV39H1	enzymatic study
SUV39H1	TAL1	affinity chromatography technology
SUV39H1	THRA	pull down
SUV39H1	UBC	affinity chromatography technology
SUV39H1	UHRF1	affinity chromatography technology
SUV39H2	UBE2V2	in vitro|two hybrid
SUV420H1	YWHAG	anti bait coimmunoprecipitation
SUV420H1	YWHAQ	anti bait coimmunoprecipitation
SUV420H2	TUB	affinity chromatography technology
SUV420H2	UBC	affinity chromatography technology
SUZ12	UBC	affinity chromatography technology
SUZ12	UBE2I	pull down
SUZ12	UHRF1	affinity chromatography technology
SUZ12	USP7	enzymatic study
SUZ12	VAV1	affinity chromatography technology
SUZ12	WDR77	affinity chromatography technology
SUZ12	WT1	affinity chromatography technology
SV2A	UBC	affinity chromatography technology
SV2B	SYT1	in vitro
SV2C	SYT1	affinity chromatography technology
SVEP1	ZFYVE9	two hybrid
SVIL	TGFB1I1	in vitro
SVIL	TNFAIP1	two hybrid
SVIL	UXT	two hybrid
SVIL	YWHAG	in vivo
SVIP	SYVN1	biochemical
SVIP	TFRC	biochemical
SVIP	UFD1L	biochemical
SVIP	VCP	biochemical
SVIP	VCPIP1	anti tag coimmunoprecipitation
SVIP	VIMP	biochemical
SWAP70	UBC	affinity chromatography technology
SWSAP1	XRCC3	tandem affinity purification
SWSAP1	ZSWIM7	tandem affinity purification
SYAP1	UBC	affinity chromatography technology
SYCP1	UBC	affinity chromatography technology
SYDE1	UBC	affinity chromatography technology
SYF2	UBC	affinity chromatography technology
SYK	TLR4	in vivo
SYK	TNFRSF1A	in vivo
SYK	TRAF6	in vivo
SYK	TRAIP	two hybrid
SYK	TUBA1A	in vitro
SYK	TUBA4A	in vitro
SYK	TUBG1	biochemical
SYK	TYROBP	anti bait coimmunoprecipitation
SYK	UBA52	in vitro
SYK	UBASH3B	affinity chromatography technology
SYK	UBC	affinity chromatography technology
SYK	USP25	two hybrid
SYK	VAV1	two hybrid
SYK	VAV2	two hybrid
SYMPK	UBC	affinity chromatography technology
SYMPK	WWOX	pull down
SYN1	SYN2	in vitro|two hybrid
SYN1	SYN3	in vivo
SYN1	VIM	two hybrid
SYN2	SYN2	in vivo
SYN2	SYN3	in vivo|two hybrid
SYN2	UBC	affinity chromatography technology
SYN2	YWHAE	two hybrid
SYN2	YWHAZ	two hybrid
SYNCRIP	SYT1	pull down
SYNCRIP	SYT11	in vitro
SYNCRIP	SYT2	in vitro
SYNCRIP	SYT3	in vitro
SYNCRIP	SYT4	pull down
SYNCRIP	SYT7	in vitro
SYNCRIP	SYT8	in vitro
SYNCRIP	SYT9	pull down
SYNCRIP	TP63	anti tag coimmunoprecipitation
SYNCRIP	UBC	affinity chromatography technology
SYNE1	TERF2	affinity chromatography technology
SYNE1	TNIK	two hybrid
SYNE1	TP53RK	anti bait coimmunoprecipitation
SYNE1	UBC	affinity chromatography technology
SYNE2	TERF2	affinity chromatography technology
SYNE2	UBC	affinity chromatography technology
SYNGAP1	TRIP6	two hybrid
SYNGAP1	ULK1	two hybrid
SYNGAP1	ULK2	two hybrid
SYNGR1	UBC	affinity chromatography technology
SYNGR2	UBC	affinity chromatography technology
SYNGR3	UBC	affinity chromatography technology
SYNJ1	TNK2	pull down
SYNJ2	SYNJ2	in vivo
SYNJ2	SYNJ2BP	two hybrid
SYNJ2	UBC	affinity chromatography technology
SYNJ2BP	UBC	affinity chromatography technology
SYNM	SYNM	in vitro
SYNM	UBC	affinity chromatography technology
SYNPO2	UBC	affinity chromatography technology
SYNPO2	WNK1	pull down
SYNPO2	YWHAG	two hybrid
SYNPO2	YWHAZ	two hybrid
SYNPO	UBC	affinity chromatography technology
SYNPO	WNK1	pull down
SYNPO	YWHAG	two hybrid
SYNPO	YWHAZ	two hybrid
SYP	VAMP2	in vivo
SYPL1	UBC	affinity chromatography technology
SYPL1	VAMP2	in vivo
SYS1	UBC	affinity chromatography technology
SYT-SSX2	TLE1	anti bait coimmunoprecipitation
SYT11	UBC	affinity chromatography technology
SYT14	SYT14	in vivo
SYT14	SYT16	in vivo
SYT17	TSC22D4	two hybrid pooling approach
SYT1	SYT1	in vitro
SYT1	SYT4	in vitro
SYT1	TFAP2A	in vitro
SYT1	TFCP2	display technology
SYT1	UBC	affinity chromatography technology
SYT1	VAMP2	in vivo
SYT1	ZDHHC17	enzymatic study
SYT2	UBC	affinity chromatography technology
SYT2	WNK1	in vivo
SYT3	SYT5	in vivo
SYT4	SYT4	in vitro
SYT4	TFAP2B	in vivo
SYT9	SYT9	in vitro
SYT9	TRPV1	in vivo
SYT9	TUBB	in vivo|pull down
SYTL3	UBC	affinity chromatography technology
SYTL4	SYTL4	in vitro
SYTL4	USP20	anti tag coimmunoprecipitation
SYVN1	TMEM66	affinity chromatography technology
SYVN1	TMUB1	affinity chromatography technology
SYVN1	TP53	pull down
SYVN1	TYR	affinity chromatography technology
SYVN1	UBC	affinity chromatography technology
SYVN1	UBE2J1	two hybrid
SYVN1	UBE2U	two hybrid array
SYVN1	UBE2Z	two hybrid array
SYVN1	UBXN8	two hybrid
SYVN1	USP7	two hybrid array
SYVN1	VCP	affinity chromatography technology
SYVN1	VIMP	biochemical
SYVN1	WFS1	affinity chromatography technology
SZRD1	UBC	affinity chromatography technology
SZT2	UBC	affinity chromatography technology
T	UBC	affinity chromatography technology
TAB1	TAB2	anti tag coimmunoprecipitation
TAB1	TAB3	pull down
TAB1	TNF	affinity chromatography technology
TAB1	TRAF2	anti tag coimmunoprecipitation
TAB1	TRAF6	coimmunoprecipitation
TAB1	TRIP6	two hybrid
TAB1	TRPC4AP	two hybrid
TAB1	TSSC4	two hybrid
TAB1	TUBA3D	anti tag coimmunoprecipitation
TAB1	TUBB2B	anti tag coimmunoprecipitation
TAB1	TUBB4A	anti tag coimmunoprecipitation
TAB1	UBC	pull down
TAB1	URB1	two hybrid
TAB1	WTAP	two hybrid
TAB1	XIAP	affinity chromatography technology
TAB1	XPO7	two hybrid
TAB1	YWHAG	in vivo
TAB1	ZMYND11	two hybrid
TAB2	TAB3	anti tag coimmunoprecipitation
TAB2	TANK	pull down
TAB2	TBL1X	two hybrid
TAB2	TGM2	two hybrid
TAB2	TIMM50	anti tag coimmunoprecipitation
TAB2	TIRAP	anti tag coimmunoprecipitation
TAB2	TLR3	affinity chromatography technology
TAB2	TNF	affinity chromatography technology
TAB2	TNFRSF11A	in vivo
TAB2	TRAF2	in vivo
TAB2	TRAF3IP1	two hybrid
TAB2	TRAF6	affinity chromatography technology
TAB2	TTN	anti bait coimmunoprecipitation
TAB2	TUBA3D	anti tag coimmunoprecipitation
TAB2	TUBB	anti tag coimmunoprecipitation
TAB2	TUBB4A	anti tag coimmunoprecipitation
TAB2	UBB	anti tag coimmunoprecipitation
TAB2	UBC	anti tag coimmunoprecipitation
TAB2	VIM	two hybrid
TAB2	XIAP	in vivo
TAB2	YWHAE	anti tag coimmunoprecipitation
TAB2	YWHAZ	two hybrid
TAB2	ZBTB16	two hybrid
TAB3	TRAF2	affinity chromatography technology
TAB3	TRAF6	affinity chromatography technology
TAB3	UBC	affinity chromatography technology
TAC1	TAC4	pull down
TAC1	TACR1	in vivo
TAC1	TACR2	pull down
TAC1	TACR3	in vivo
TAC1	TFF2	pull down
TAC1	XRCC6	two hybrid
TAC3	TACR1	in vitro
TAC3	TACR2	pull down
TAC3	TACR3	in vivo
TAC3	UBR1	two hybrid
TAC3	VOPP1	two hybrid pooling approach
TAC4	TACR1	in vivo
TAC4	TACR2	in vivo
TAC4	TACR3	in vivo
TACC1	TDRD7	two hybrid
TACC1	UBC	affinity chromatography technology
TACC1	YEATS4	two hybrid
TACC2	TTK	anti tag coimmunoprecipitation
TACC2	UBC	affinity chromatography technology
TACC2	YEATS4	in vivo
TACC3	TTF2	two hybrid
TACC3	UBC	affinity chromatography technology
TACO1	UBC	affinity chromatography technology
TADA1	TAF10	enzymatic study
TADA1	TAF9	in vitro
TADA1	TP53	affinity chromatography technology
TADA1	UBC	affinity chromatography technology
TADA1	USP22	anti tag coimmunoprecipitation
TADA2A	TADA3	two hybrid pooling approach|two hybrid
TADA2A	TP53	affinity chromatography technology
TADA2A	TRA2A	affinity chromatography technology
TADA2A	TRA2B	affinity chromatography technology
TADA2A	TRIM28	affinity chromatography technology
TADA2A	WDR5	affinity chromatography technology
TADA2A	WDTC1	affinity chromatography technology
TADA2A	XAB2	affinity chromatography technology
TADA2A	ZZZ3	affinity chromatography technology
TADA2B	UBC	affinity chromatography technology
TADA2B	USP22	affinity chromatography technology
TADA3	TAF10	affinity chromatography technology
TADA3	TAF9	in vivo
TADA3	TP53	affinity chromatography technology
TADA3	TXNRD2	two hybrid
TADA3	USP22	anti tag coimmunoprecipitation
TADA3	USP5	two hybrid
TADA3	XRCC6	two hybrid
TADA3	ZNF7	two hybrid pooling approach|two hybrid
TAF10	TAF10	in vitro
TAF10	TAF11	in vivo
TAF10	TAF12	in vivo
TAF10	TAF13	two hybrid
TAF10	TAF2	in vivo
TAF10	TAF3	in vivo
TAF10	TAF4	affinity chromatography technology
TAF10	TAF5	affinity chromatography technology
TAF10	TAF5L	affinity chromatography technology
TAF10	TAF6	in vivo
TAF10	TAF6L	in vivo
TAF10	TAF7	anti bait coimmunoprecipitation
TAF10	TAF8	biochemical
TAF10	TAF9	in vivo
TAF10	TAF9B	enzymatic study
TAF10	TBP	in vitro
TAF10	TP53	affinity chromatography technology
TAF10	TRAF3IP1	enzymatic study
TAF10	TRRAP	affinity chromatography technology
TAF10	UBE2I	enzymatic study
TAF10	USP22	affinity chromatography technology
TAF11	TAF12	in vitro
TAF11	TAF13	in vitro
TAF11	TAF15	pull down
TAF11	TAF2	in vivo
